mol,A1_5,A1_10,A1_20,A1_40,A1_80,A2_5,A2_10,A2_20,A2_40,A2_80,A1_pore_5,A1_pore_10,A1_pore_20,A1_pore_40,A1_pore_80,A2_pore_5,A2_pore_10,A2_pore_20,A2_pore_40,A2_pore_80,A1_pd3_5,A1_pd3_10,A1_pd3_20,A1_pd3_40,A1_pd3_80,A2_pd3_5,A2_pd3_10,A2_pd3_20,A2_pd3_40,A2_pd3_80,A1_pd3pore_5,A1_pd3pore_10,A1_pd3pore_20,A1_pd3pore_40,A1_pd3pore_80,A2_pd3pore_5,A2_pd3pore_10,A2_pd3pore_20,A2_pd3pore_40,A2_pd3pore_80
DP-0000552,,,72.5,143.58,346.49,,,61.4,127.73,393.8,,50,87.83,170.06,386.9,,65,111.18,171.24,419.28,,30,54.88,104.92,236.38,,27,55.53,109.29,242.55,,27,53.03,156.66,291.8,,30,54.53,128.01,268.59
DP-0000553,,8.91,16.02,35.3,80.07,,7.86,15.82,30.15,102.16,,23.84,43.8,54.73,128.59,,45.32,47.82,102.18,236.25,,11.02,24.63,41.99,79.14,,10.42,18.78,55.67,104.19,,11.98,28.64,70.13,107.06,,11.79,20.76,79.14,184.86
DP-0000555,,56.78,106.03,145.42,264.58,,68.55,104.15,183.84,346.28,,79.68,140.11,242.31,442.96,,75.65,172.33,295.05,560.84,,53.86,93.46,162.05,285.92,,63.93,115.52,167.34,268.61,,81.57,138.23,242.02,407.65,,81.6,153.81,290.08,420.89
DP-0000556,,51.42,70.31,80,129.04,,56.66,77.58,141.89,311.68,,52.44,90.66,118.17,157.54,,62.99,115.68,153.89,205.13,,43.83,62.27,76.89,111.53,,56.53,87.29,95.4,223.74,,56.54,64.46,107.97,158.05,,64.97,90.44,215.47,270.5
DP-0000558,,68.61,135.72,200.77,394.76,,71.37,132.63,208.55,357.6,,95.99,150.45,319.39,400,,134.48,188.94,278.62,464.14,,58.28,111.09,158.21,311.98,,78.19,120.18,170.05,299.57,,79.35,147.75,203.71,282.87,,75.15,139.18,293.53,378.84
DP-0000559,,108.05,195,372.01,749.05,,146.63,200,388.52,762.57,,188.35,345.89,759.54,1191.47,,194.93,306.17,700,1200,,114.11,176.5,388.65,746.23,,100,180,400,750,,407.2,613.46,1000,1500,,391.84,682.03,1000,1500
DP-0000560,,115.34,198.08,388.85,710.23,,108.98,193.71,467.8,728.15,,198.11,386.63,669.16,1244.48,,224.58,383.3,1354.42,1329.53,,142.21,235.65,549.77,1100,,132.71,526.71,733.43,1500,,250.18,505.77,1100,2200,,670.65,594.44,1119.16,1200.55
DP-0000562,,29.08,50.41,117.32,195.48,,20.1,55.46,112.25,194.59,,53.5,102.34,188.99,299.22,,57.44,116.38,199.76,355.75,,32.08,65.32,120.16,200.11,,32.12,85.64,118.56,185.9,,72.43,140.32,230,379.27,,90.85,142,243.74,460.82
DP-0000563,,33.62,58.23,131.63,200.1,,30.2,51.25,127.83,209.67,,38.89,80.08,200,362.11,,60.34,125.25,280.53,570,,25,50,135,280.48,,60,99,176.73,405.73,,67.68,120,236.91,459.74,,59.14,131.05,340.86,710
G210-2547,,40.02,120.54,220.36,463.44,,50.57,115.85,215.5,471.95,,81.12,240.03,544.22,1118.1,,103.71,207.01,359.55,1021.78,,62.57,122.41,323.43,544.12,,47.58,92.44,315.38,693.85,,120.1,262.79,677.19,1339.93,,132.19,290.51,674.23,1159.44
G414-0762,,122.91,139.47,137.08,223.09,,129,157,127,230,,168.28,186.72,179.42,248.57,,185,221,180,286,,134.33,148.19,155.35,228.4,,153,167,175,240,,190.39,179.97,177.39,269.08,,210,216,199.7,208.54
G414-0778,,93.74,146.71,255.38,424.89,,105.88,147.94,254.75,431.3,,131.28,180.93,283.55,427.71,,107.29,197.27,343.61,553.05,,82.4,138.36,272.21,365.11,,88.75,136.94,265.66,342.5,,117.18,223.49,366.96,477.35,,126.19,230.6,395.18,590.12
G414-1139,,20.17,53.18,103.96,177.26,,68.68,117.95,193.7,275.43,,34.11,64.1,113.86,182.48,,63.71,165.13,239.17,415.02,,30.73,44.39,100.84,262.95,,75.92,95.52,202.37,245.99,,37.78,60.69,114.68,230.11,,71.49,160.66,277.08,462.03
G414-1230,,58.82,87.25,128.96,182.3,,60.74,89.99,128.17,189.21,,64.92,103.12,147.07,200.72,,72.14,105.15,154.96,206.67,,54.61,105.8,124.93,227.53,,54.3,90.61,130.28,191.18,,96.75,134.69,209.4,277.63,,78.92,130.05,213.99,256.89
NSC_66754,,1.99,5.04,5.44,17.29,,2.63,1.16,4.79,17.97,,0.53,1.97,3.56,4.54,,3.89,5.35,9,10.36,,2.05,6.54,8.9,11.43,,2.27,2.42,3.88,9.2,,0.38,0.82,1.27,4.93,,11.67,12.04,46.88,80
NSC_66761,,4.05,6.09,17.29,31.37,,3.36,6.11,21.16,35.37,,3.67,5.98,16.88,34.11,,2.29,5.85,11.4,20.48,,2.47,4.16,8.49,35.82,,1.94,5.64,9.04,25.46,,2.09,8.18,24.64,27.69,,2.08,4.1,5.33,29.1
NSC_67729,,7.91,38.63,80.4,261.68,,10.57,40.84,70.36,326.06,,6.1,37.29,105.14,226,,39.85,73.15,113.68,387.49,,39.66,26.76,81.12,240,,46.71,24.52,78.06,243.84,,27.07,46.31,94.58,155.23,,53.64,57.4,135.35,219.96
NSC_67735,,0.57,1.9,5.18,9.44,,0.61,0.81,1.32,2.31,,0.25,0.57,0.87,1.7,,0.28,0.3,1.14,2.52,,0.37,0.84,3.48,7.71,,0.26,0.4,0.87,2.05,,0.13,0.45,0.5,5.09,,0.2,0.52,0.76,0.9
NSC_70687,,0.73,1.18,1.51,4.21,,0.18,1.05,2.82,3.29,,1.57,0.74,1.19,4.83,,0.68,1,0.99,4.96,,0.98,0.44,1.5,5.07,,0.27,0.82,1.06,2.03,,0.98,0.44,1.5,5.07,,0.98,0.44,1.5,5.07
NSC_70691,,2.23,7.18,30.24,70.51,,1.75,5.83,10.04,13.38,,0.41,1.64,13.36,28.91,,4.06,6.19,10.49,32.95,,2.81,4.72,75.83,107.49,,1.39,4.48,12.44,15.23,,1.64,3.11,27.9,75.73,,4.04,4.75,15.83,27.71
NSC_70695,,1.56,2.78,18.19,38.41,,2.37,1.77,5.77,40,,2.02,2.42,6.35,15.21,,1.43,1.24,4.22,8.79,,4.22,7.7,13.98,31.47,,1.86,6.32,11.6,31,,2.01,2.9,8.81,29.22,,0.92,2.29,2.83,11.98
NSC_72381,,1.21,2.32,3.03,12.97,,1.5,2.07,4.59,16.61,,1.01,2.69,3.32,7.37,,1.8,1.64,2.61,7.04,,1.07,11.62,13.75,10.42,,1.13,8.82,12.42,9.29,,1.38,3.31,5.21,11.69,,2.29,1.68,3.06,8.29
NSC_72382,,3.95,5.97,12.71,28.89,,8.83,14.74,18.08,25.55,,3.65,6.64,17.32,31.8,,4.98,5.93,9.9,24.24,,5.97,8.87,14.88,42.24,,4.59,6.85,22.85,27.51,,4.62,7.31,22.3,36.71,,5.79,9.16,21.05,42.28
